Cod. Pais de destino;Cod. Cuidad de origen;Cantidad;Valor de Dolares;Valor en pesos
BLR;BOG;8000,00;1440,00;5662929,60
BLR;BOG;53200,00;9299,99;36573047,67
BLR;BOG;1024,00;3225,60;12897593,85
BLR;BOG;80,00;184,00;735725,84
BLR;BOG;11250,00;1462,50;5849868,37
BLR;BOG;8875,00;2537,38;10145739,30
BLR;BOG;2400,00;334,80;1338701,14
BLR;BOG;1200,00;163,20;645743,23
BLR;BOG;10800,00;1468,80;5811689,08
BLR;BOG;140,00;38,08;147424,81
BLR;BOG;314,00;474,45;1836809,45
BLR;BOG;655,00;345,48;1337508,54
BOL;BOG;706,00;17527,64;69208587,64
BOL;BOG;121,00;5554,77;21933231,53
BOL;BOG;80,00;584,70;2308711,33
BOL;BOG;3,00;41,10;166258,54
BOL;BOG;14,00;94,78;383405,95
BOL;BOG;639,00;2347,46;9495992,14
BOL;BOG;985,00;3650,05;14765255,25
BOL;BOG;835,00;10996,02;44481320,02
BOL;BOG;13,00;44,85;181428,11
BOL;BOG;95,00;377,16;1525695,17
BOL;BOG;31,00;402,38;1627715,62
BOL;BOG;70,00;291,90;1180799,71
BOL;BOG;80000,00;2328,00;8950717,68
BOL;BOG;200,00;31000,00;121378330,00
BOL;BOG;32,00;207,36;838816,81
BOL;BOG;273,00;943,99;3818647,22
BOL;BOG;14,00;59,43;240407,42
BOL;BOG;28,20;2009,00;7724223,29
BOL;BOG;4,00;10729,42;42010292,95
BOL;BOG;434,72;951,01;3769044,34
BOL;BOG;5600,66;12602,84;50154188,76
BOL;BOG;493,85;1233,92;4872182,47
BOL;BOG;395,41;740,67;2945285,09
BOL;BOG;26,69;59,84;236280,63
BOL;BOG;160,65;306,60;1212138,28
BOL;BOG;400,35;763,34;3029380,98
BOL;BOG;184,45;336,17;1327380,69
BOL;BOG;73,70;161,43;639422,95
BOL;BOG;77,50;183,50;724557,09
BOL;BOG;6,05;84,35;335978,70
BOL;BOG;125,52;1259,14;5014620,82
BOL;BOG;17,86;201,36;799639,95
BOL;BOG;93,60;9606,45;38860203,66
BOL;BOG;1003,20;3661,68;14337051,72
BOL;BOG;635,59;51347,96;206100052,58
BOL;BOG;383,58;28678,37;115121381,32
BOL;BOG;38400,00;2843,04;11246725,07
BOL;BOG;382,91;8712,96;35245840,05
BOL;BOG;1149,78;72025,13;287788937,65
BOL;BOG;33,42;2532,76;9960306,64
BOL;BOG;40,00;22000,00;87799360,00
BOL;BOG;274,88;27200,40;109671315,98
BOL;BOG;114,10;2809,68;11165181,11
BOL;BOG;2715,28;100936,21;401167252,98
BOL;BOG;1614,50;57714,09;228690123,80
BOL;BOG;54,50;1321,44;5273708,46
BOL;BOG;58,09;4402,20;17312047,69
BOL;BOG;44,24;3352,00;13182041,68
BOL;BOG;3460,73;153237,04;608459777,23
BOL;BOG;73,80;673,92;2684324,44
BOL;BOG;1488,74;10859,52;43255097,08
BOL;BOG;5,89;236,40;925607,65
BOL;BOG;104,00;3680,00;14657992,00
BOL;BOG;457,80;7665,13;30322334,46
BOL;BOG;36,00;269,64;1054086,12
BOL;BOG;25,00;145,75;582782,83
BOL;BOG;29,00;128,26;503386,62
BOL;BOG;243,00;1679,25;6617397,22
BOL;BOG;49,00;308,16;1232435,45
BOL;BOG;166,00;999,47;3859476,03
BOL;BOG;342,00;1189,05;4663797,99
BOL;BOG;214,00;914,58;3571236,22
BOL;BOG;638,00;1607,70;6333170,05
BOL;BOG;103,00;322,48;1289545,09
BOL;BOG;125,00;390,07;1558386,67
BOL;BOG;80,00;229,68;911294,89
BOL;BOG;1587,00;3778,96;14976845,55
BOL;BOG;449,00;1560,11;6208747,39
BOL;BOG;249,00;775,25;3078564,84
BOL;BOG;7,00;64,82;259183,41
BOL;BOG;23,00;239,43;920562,85
BOL;BOG;10,00;42,90;171536,07
BOL;BOG;73,00;336,68;1346218,34
BOL;BOG;69,00;333,26;1326324,63
BOL;BOG;248,00;2188,05;8509240,75
BOL;BOG;92,00;317,40;1239109,46
BOL;BOG;6,00;33,72;129646,99
BOL;BOG;16,00;99,05;391080,21
BOL;BOG;402,00;1598,41;6219736,29
BOL;BOG;33,00;221,19;850433,52
BOL;BOG;84,00;364,01;1406427,36
BOL;BOG;142,00;455,96;1823580,10
BOL;BOG;53,79;4707,84;18692638,67
BOL;BOG;24,00;566,28;2217229,67
BOL;BOG;4,00;3823,32;14969941,82
BOL;BOG;8,00;950,14;3720206,66
BOL;BOG;6,93;15,75;62734,61
BOL;BOG;4,62;12,27;48873,25
BOL;BOG;107,48;16588,01;67102149,81
BOL;BOG;112,00;5676,38;22460073,32
BOL;BOG;108,82;11032,26;44627918,79
BOL;BOG;125,24;5327,95;21316542,58
BOL;BOG;12,63;6445,68;26074193,64
BOL;BOG;545,93;12518,52;50364634,84
BOL;BOG;7,01;607,16;2428293,91
BOL;BOG;6,00;45,60;182374,00
BOL;BOG;82,00;555,50;2221683,36
BOL;BOG;15,00;94,20;376746,30
BOL;BOG;7,00;19,42;77668,93
BOL;BOG;30,00;147,90;591515,69
BOL;BOG;14,00;71,96;287798,98
BOL;BOG;143,00;400,83;1603091,52
BOL;BOG;227,00;481,91;1927365,31
BOL;BOG;5,00;52,00;207970,36
BOL;BOG;20,00;179,95;719697,42
BOL;BOG;6,00;16,20;64790,76
BOL;BOG;5,00;35,50;141979,76
BOL;BOG;58,00;535,34;2141054,85
BOL;BOG;13,97;364,00;1464448,44
BOL;BOG;33680,00;3180,22;12719067,26
BOL;BOG;206,24;11579,94;46124638,01
BOL;BOG;314,00;14072,04;56051046,12
BOL;BOG;34,00;258,40;1045284,84
BOL;BOG;97,00;647,96;2621140,75
BOL;BOG;16,00;100,48;406463,70
BOL;BOG;90,00;418,22;1691791,90
BOL;BOG;22,00;108,46;438744,56
BOL;BOG;59,00;321,96;1302399,03
BOL;BOG;13,00;54,86;221920,76
BOL;BOG;222,00;480,20;1942514,64
BOL;BOG;21,00;34,23;138467,88
BOL;BOG;16,00;72,64;293844,78
BOL;BOG;81,00;235,84;954024,68
BOL;BOG;13,00;28,80;116502,33
BOL;BOG;634,00;1349,09;5457365,84
BOL;BOG;198,00;847,93;3430063,39
BOL;BOG;253,00;792,07;3204097,40
BOL;BOG;9,00;93,60;378632,59
BOL;BOG;93,00;458,23;1853641,16
BOL;BOG;6,00;22,38;90532,02
BOL;BOG;66,00;634,80;2567905,65
BOL;BOG;4,00;23,80;96276,23
BOL;BOG;36,00;170,44;689467,29
BOL;BOG;65,00;269,75;1091198,09
